# arc  E1  E2
5.209588  -0.71870015  0.71870015
5.227188  -0.72763388  0.72763388
5.244788  -0.73643383  0.73643383
5.262388  -0.74509932  0.74509932
5.279988  -0.75362966  0.75362966
5.297588  -0.76202421  0.76202421
5.315188  -0.77028230  0.77028230
5.332788  -0.77840331  0.77840331
5.350387  -0.78638659  0.78638659
5.367987  -0.79423155  0.79423155
5.385587  -0.80193755  0.80193755
5.403187  -0.80950402  0.80950402
5.420787  -0.81693036  0.81693036
5.438387  -0.82421600  0.82421600
5.455987  -0.83136038  0.83136038
5.473587  -0.83836293  0.83836293
5.491187  -0.84522313  0.84522313
5.508787  -0.85194043  0.85194043
5.526387  -0.85851432  0.85851432
5.543987  -0.86494429  0.86494429
5.561587  -0.87122984  0.87122984
5.579187  -0.87737048  0.87737048
5.596787  -0.88336574  0.88336574
5.614387  -0.88921515  0.88921515
5.631987  -0.89491827  0.89491827
5.649587  -0.90047464  0.90047464
5.667187  -0.90588384  0.90588384
5.684787  -0.91114546  0.91114546
5.702387  -0.91625907  0.91625907
5.719987  -0.92122430  0.92122430
5.737587  -0.92604074  0.92604074
5.755187  -0.93070803  0.93070803
5.772787  -0.93522582  0.93522582
5.790386  -0.93959374  0.93959374
5.807986  -0.94381145  0.94381145
5.825586  -0.94787865  0.94787865
5.843186  -0.95179500  0.95179500
5.860786  -0.95556020  0.95556020
5.878386  -0.95917397  0.95917397
5.895986  -0.96263602  0.96263602
5.913586  -0.96594609  0.96594609
5.931186  -0.96910391  0.96910391
5.948786  -0.97210925  0.97210925
5.966386  -0.97496188  0.97496188
5.983986  -0.97766156  0.97766156
6.001586  -0.98020809  0.98020809
6.019186  -0.98260128  0.98260128
6.036786  -0.98484094  0.98484094
6.054386  -0.98692689  0.98692689
6.071986  -0.98885898  0.98885898
6.089586  -0.99063705  0.99063705
6.107186  -0.99226097  0.99226097
6.124786  -0.99373061  0.99373061
6.142386  -0.99504586  0.99504586
6.159986  -0.99620662  0.99620662
6.177586  -0.99721278  0.99721278
6.195186  -0.99806429  0.99806429
6.212785  -0.99876107  0.99876107
6.230385  -0.99930306  0.99930306
6.247985  -0.99969024  0.99969024
6.265585  -0.99992255  0.99992255
6.283185  -1.00000000  1.00000000
6.313669  -1.00069669  1.00069669
6.344153  -1.00278334  1.00278334
6.374637  -1.00624986  1.00624986
6.405121  -1.01107964  1.01107964
6.435605  -1.01724995  1.01724995
6.466089  -1.02473229  1.02473229
6.496573  -1.03349304  1.03349304
6.527057  -1.04349396  1.04349396
6.557542  -1.05469291  1.05469291
6.588026  -1.06704451  1.06704451
6.618510  -1.08050078  1.08050078
6.648994  -1.09501179  1.09501179
6.679478  -1.11052629  1.11052629
6.709962  -1.12699226  1.12699226
6.740446  -1.14435741  1.14435741
6.770930  -1.16256963  1.16256963
6.801414  -1.18157737  1.18157737
6.831898  -1.20132993  1.20132993
6.862382  -1.22177776  1.22177776
6.892866  -1.24287267  1.24287267
6.923350  -1.26456795  1.26456795
6.953834  -1.28681849  1.28681849
6.984318  -1.30958089  1.30958089
7.014802  -1.33281348  1.33281348
7.045286  -1.35647632  1.35647632
7.075770  -1.38053123  1.38053123
7.106254  -1.40494174  1.40494174
7.136738  -1.42967307  1.42967307
7.167222  -1.45469206  1.45469206
7.197706  -1.47996713  1.47996713
7.228190  -1.50546821  1.50546821
7.258674  -1.53116669  1.53116669
7.289158  -1.55703533  1.55703533
7.319642  -1.58304820  1.58304820
7.350126  -1.60918062  1.60918062
7.380610  -1.63540909  1.63540909
7.411094  -1.66171121  1.66171121
7.441578  -1.68806563  1.68806563
7.472062  -1.71445201  1.71445201
7.502546  -1.74085092  1.74085092
7.533030  -1.76724381  1.76724381
7.563514  -1.79361295  1.79361295
7.593998  -1.81994141  1.81994141
7.624482  -1.84621297  1.84621297
7.654966  -1.87241210  1.87241210
7.685450  -1.89852391  1.89852391
7.715934  -1.92453414  1.92453414
7.746418  -1.95042907  1.95042907
7.776902  -1.97619555  1.97619555
7.807386  -2.00182093  2.00182093
7.837870  -2.02729304  2.02729304
7.868354  -2.05260016  2.05260016
7.898839  -2.07773100  2.07773100
7.929323  -2.10267468  2.10267468
7.959807  -2.12742071  2.12742071
7.990291  -2.15195895  2.15195895
8.020775  -2.17627962  2.17627962
8.051259  -2.20037327  2.20037327
8.081743  -2.22423074  2.22423074
8.112227  -2.24784320  2.24784320
8.142711  -2.27120209  2.27120209
8.173195  -2.29429912  2.29429912
8.203679  -2.31712626  2.31712626
8.234163  -2.33967574  2.33967574
8.264647  -2.36194001  2.36194001
8.295131  -2.38391177  2.38391177
8.325615  -2.40558392  2.40558392
8.356099  -2.42694960  2.42694960
8.386583  -2.44800212  2.44800212
8.417067  -2.46873501  2.46873501
8.447551  -2.48914199  2.48914199
8.478035  -2.50921696  2.50921696
8.508519  -2.52895400  2.52895400
8.539003  -2.54834736  2.54834736
8.569487  -2.56739148  2.56739148
8.599971  -2.58608093  2.58608093
8.630455  -2.60441047  2.60441047
8.660939  -2.62237500  2.62237500
8.691423  -2.63996958  2.63996958
8.721907  -2.65718941  2.65718941
8.752391  -2.67402985  2.67402985
8.782875  -2.69048640  2.69048640
8.813359  -2.70655469  2.70655469
8.843843  -2.72223050  2.72223050
8.874327  -2.73750973  2.73750973
8.904811  -2.75238844  2.75238844
8.935295  -2.76686278  2.76686278
8.965779  -2.78092908  2.78092908
8.996263  -2.79458375  2.79458375
9.026747  -2.80782336  2.80782336
9.057231  -2.82064459  2.82064459
9.087715  -2.83304424  2.83304424
9.118199  -2.84501924  2.84501924
9.148683  -2.85656663  2.85656663
9.179167  -2.86768358  2.86768358
9.209652  -2.87836737  2.87836737
9.240136  -2.88861541  2.88861541
9.270620  -2.89842521  2.89842521
9.301104  -2.90779440  2.90779440
9.331588  -2.91672073  2.91672073
9.362072  -2.92520206  2.92520206
9.392556  -2.93323636  2.93323636
9.423040  -2.94082173  2.94082173
9.453524  -2.94795636  2.94795636
9.484008  -2.95463855  2.95463855
9.514492  -2.96086674  2.96086674
9.544976  -2.96663945  2.96663945
9.575460  -2.97195533  2.97195533
9.605944  -2.97681313  2.97681313
9.636428  -2.98121170  2.98121170
9.666912  -2.98515002  2.98515002
9.697396  -2.98862718  2.98862718
9.727880  -2.99164235  2.99164235
9.758364  -2.99419484  2.99419484
9.788848  -2.99628405  2.99628405
9.819332  -2.99790949  2.99790949
9.849816  -2.99907080  2.99907080
9.880300  -2.99976769  2.99976769
9.910784  -3.00000000  3.00000000
