# kx  E1..E100  (Ny=50)
-3.141593  -1.00000000  -1.00000000  -1.00000000  -1.00000000  -1.00000000  -1.00000000  -1.00000000  -1.00000000  -1.00000000  -1.00000000  -1.00000000  -1.00000000  -1.00000000  -1.00000000  -1.00000000  -1.00000000  -1.00000000  -1.00000000  -1.00000000  -1.00000000  -1.00000000  -1.00000000  -1.00000000  -1.00000000  -1.00000000  -1.00000000  -1.00000000  -1.00000000  -1.00000000  -1.00000000  -1.00000000  -1.00000000  -1.00000000  -1.00000000  -1.00000000  -1.00000000  -1.00000000  -1.00000000  -1.00000000  -1.00000000  -1.00000000  -1.00000000  -1.00000000  -1.00000000  -1.00000000  -1.00000000  -1.00000000  -1.00000000  -1.00000000  -1.00000000  1.00000000  1.00000000  1.00000000  1.00000000  1.00000000  1.00000000  1.00000000  1.00000000  1.00000000  1.00000000  1.00000000  1.00000000  1.00000000  1.00000000  1.00000000  1.00000000  1.00000000  1.00000000  1.00000000  1.00000000  1.00000000  1.00000000  1.00000000  1.00000000  1.00000000  1.00000000  1.00000000  1.00000000  1.00000000  1.00000000  1.00000000  1.00000000  1.00000000  1.00000000  1.00000000  1.00000000  1.00000000  1.00000000  1.00000000  1.00000000  1.00000000  1.00000000  1.00000000  1.00000000  1.00000000  1.00000000  1.00000000  1.00000000  1.00000000  1.00000000
-3.110019  -1.03151436  -1.03134020  -1.03105060  -1.03064657  -1.03012952  -1.02950123  -1.02876391  -1.02792013  -1.02697283  -1.02592535  -1.02478136  -1.02354490  -1.02222035  -1.02081242  -1.01932611  -1.01776676  -1.01613997  -1.01445161  -1.01270780  -1.01091490  -1.00907949  -1.00720831  -1.00530829  -1.00338650  -1.00145013  -0.99950647  -0.99756287  -0.99562672  -0.99370543  -0.99180639  -0.98993695  -0.98810438  -0.98631584  -0.98457837  -0.98289884  -0.98128391  -0.97974004  -0.97827342  -0.97688995  -0.97559524  -0.97439454  -0.97329274  -0.97229437  -0.97140351  -0.97062384  -0.96995857  -0.96941045  -0.96898176  -0.96867428  -0.96848927  0.96848927  0.96867428  0.96898176  0.96941045  0.96995857  0.97062384  0.97140351  0.97229437  0.97329274  0.97439454  0.97559524  0.97688995  0.97827342  0.97974004  0.98128391  0.98289884  0.98457837  0.98631584  0.98810438  0.98993695  0.99180639  0.99370543  0.99562672  0.99756287  0.99950647  1.00145013  1.00338650  1.00530829  1.00720831  1.00907949  1.01091490  1.01270780  1.01445161  1.01613997  1.01776676  1.01932611  1.02081242  1.02222035  1.02354490  1.02478136  1.02592535  1.02697283  1.02792013  1.02876391  1.02950123  1.03012952  1.03064657  1.03105060  1.03134020  1.03151436
-3.078445  -1.06302419  -1.06268583  -1.06212309  -1.06133776  -1.06033236  -1.05911009  -1.05767488  -1.05603135  -1.05418481  -1.05214126  -1.04990735  -1.04749043  -1.04489847  -1.04214009  -1.03922450  -1.03616155  -1.03296163  -1.02963573  -1.02619532  -1.02265243  -1.01901953  -1.01530954  -1.01153579  -1.00771200  -1.00385219  -0.99997070  -0.99608207  -0.99220108  -0.98834260  -0.98452161  -0.98075312  -0.97705206  -0.97343330  -0.96991152  -0.96650117  -0.96321639  -0.96007092  -0.95707807  -0.95425063  -0.95160077  -0.94914002  -0.94687915  -0.94482814  -0.94299611  -0.94139125  -0.94002077  -0.93889087  -0.93800668  -0.93737222  -0.93699038  0.93699038  0.93737222  0.93800668  0.93889087  0.94002077  0.94139125  0.94299611  0.94482814  0.94687915  0.94914002  0.95160077  0.95425063  0.95707807  0.96007092  0.96321639  0.96650117  0.96991152  0.97343330  0.97705206  0.98075312  0.98452161  0.98834260  0.99220108  0.99608207  0.99997070  1.00385219  1.00771200  1.01153579  1.01530954  1.01901953  1.02265243  1.02619532  1.02963573  1.03296163  1.03616155  1.03922450  1.04214009  1.04489847  1.04749043  1.04990735  1.05214126  1.05418481  1.05603135  1.05767488  1.05911009  1.06033236  1.06133776  1.06212309  1.06268583  1.06302419
-3.046871  -1.09452136  -1.09402796  -1.09320725  -1.09206162  -1.09059444  -1.08881003  -1.08671368  -1.08431162  -1.08161102  -1.07862002  -1.07534767  -1.07180397  -1.06799981  -1.06394702  -1.05965831  -1.05514727  -1.05042839  -1.04551695  -1.04042911  -1.03518179  -1.02979272  -1.02428032  -1.01866377  -1.01296286  -1.00719803  -1.00139026  -0.99556105  -0.98973234  -0.98392644  -0.97816594  -0.97247365  -0.96687252  -0.96138548  -0.95603541  -0.95084498  -0.94583655  -0.94103205  -0.93645284  -0.93211958  -0.92805214  -0.92426938  -0.92078909  -0.91762785  -0.91480086  -0.91232186  -0.91020302  -0.90845480  -0.90708591  -0.90610318  -0.90551156  0.90551156  0.90610318  0.90708591  0.90845480  0.91020302  0.91232186  0.91480086  0.91762785  0.92078909  0.92426938  0.92805214  0.93211958  0.93645284  0.94103205  0.94583655  0.95084498  0.95603541  0.96138548  0.96687252  0.97247365  0.97816594  0.98392644  0.98973234  0.99556105  1.00139026  1.00719803  1.01296286  1.01866377  1.02428032  1.02979272  1.03518179  1.04042911  1.04551695  1.05042839  1.05514727  1.05965831  1.06394702  1.06799981  1.07180397  1.07534767  1.07862002  1.08161102  1.08431162  1.08671368  1.08881003  1.09059444  1.09206162  1.09320725  1.09402796  1.09452136
-3.015297  -1.12599775  -1.12535779  -1.12429312  -1.12280660  -1.12090228  -1.11858534  -1.11586211  -1.11274010  -1.10922794  -1.10533545  -1.10107357  -1.09645442  -1.09149125  -1.08619849  -1.08059169  -1.07468754  -1.06850388  -1.06205967  -1.05537497  -1.04847096  -1.04136989  -1.03409504  -1.02667076  -1.01912237  -1.01147613  -1.00375923  -0.99599969  -0.98822631  -0.98046860  -0.97275669  -0.96512122  -0.95759323  -0.95020406  -0.94298518  -0.93596804  -0.92918394  -0.92266378  -0.91643794  -0.91053605  -0.90498675  -0.89981752  -0.89505442  -0.89072187  -0.88684245  -0.88343666  -0.88052274  -0.87811647  -0.87623100  -0.87487671  -0.87406111  0.87406111  0.87487671  0.87623100  0.87811647  0.88052274  0.88343666  0.88684245  0.89072187  0.89505442  0.89981752  0.90498675  0.91053605  0.91643794  0.92266378  0.92918394  0.93596804  0.94298518  0.95020406  0.95759323  0.96512122  0.97275669  0.98046860  0.98822631  0.99599969  1.00375923  1.01147613  1.01912237  1.02667076  1.03409504  1.04136989  1.04847096  1.05537497  1.06205967  1.06850388  1.07468754  1.08059169  1.08619849  1.09149125  1.09645442  1.10107357  1.10533545  1.10922794  1.11274010  1.11586211  1.11858534  1.12090228  1.12280660  1.12429312  1.12535779  1.12599775
-2.983724  -1.15744531  -1.15666661  -1.15537094  -1.15356154  -1.15124295  -1.14842102  -1.14510291  -1.14129708  -1.13701331  -1.13226273  -1.12705776  -1.12141218  -1.11534113  -1.10886108  -1.10198988  -1.09474672  -1.08715220  -1.07922827  -1.07099828  -1.06248695  -1.05372040  -1.04472609  -1.03553288  -1.02617094  -1.01667179  -1.00706822  -0.99739428  -0.98768518  -0.97797729  -0.96830800  -0.95871563  -0.94923935  -0.93991897  -0.93079485  -0.92190767  -0.91329822  -0.90500719  -0.89707488  -0.88954093  -0.88244400  -0.87582148  -0.86970909  -0.86414058  -0.85914735  -0.85475809  -0.85099850  -0.84789090  -0.84545397  -0.84370255  -0.84264736  0.84264736  0.84370255  0.84545397  0.84789090  0.85099850  0.85475809  0.85914735  0.86414058  0.86970909  0.87582148  0.88244400  0.88954093  0.89707488  0.90500719  0.91329822  0.92190767  0.93079485  0.93991897  0.94923935  0.95871563  0.96830800  0.97797729  0.98768518  0.99739428  1.00706822  1.01667179  1.02617094  1.03553288  1.04472609  1.05372040  1.06248695  1.07099828  1.07922827  1.08715220  1.09474672  1.10198988  1.10886108  1.11534113  1.12141218  1.12705776  1.13226273  1.13701331  1.14129708  1.14510291  1.14842102  1.15124295  1.15356154  1.15537094  1.15666661  1.15744531
-2.952150  -1.18885598  -1.18794579  -1.18643115  -1.18431557  -1.18160398  -1.17830275  -1.17441963  -1.16996384  -1.16494604  -1.15937834  -1.15327432  -1.14664906  -1.13951914  -1.13190265  -1.12381924  -1.11529010  -1.10633802  -1.09698738  -1.08726419  -1.07719611  -1.06681244  -1.05614420  -1.04522405  -1.03408638  -1.02276728  -1.01130453  -0.99973758  -0.98810754  -0.97645712  -0.96483058  -0.95327362  -0.94183333  -0.93055799  -0.91949693  -0.90870031  -0.89821894  -0.88810389  -0.87840625  -0.86917674  -0.86046526  -0.85232049  -0.84478936  -0.83791657  -0.83174402  -0.82631030  -0.82165018  -0.81779402  -0.81476742  -0.81259073  -0.81127872  0.81127872  0.81259073  0.81476742  0.81779402  0.82165018  0.82631030  0.83174402  0.83791657  0.84478936  0.85232049  0.86046526  0.86917674  0.87840625  0.88810389  0.89821894  0.90870031  0.91949693  0.93055799  0.94183333  0.95327362  0.96483058  0.97645712  0.98810754  0.99973758  1.01130453  1.02276728  1.03408638  1.04522405  1.05614420  1.06681244  1.07719611  1.08726419  1.09698738  1.10633802  1.11529010  1.12381924  1.13190265  1.13951914  1.14664906  1.15327432  1.15937834  1.16494604  1.16996384  1.17441963  1.17830275  1.18160398  1.18431557  1.18643115  1.18794579  1.18885598
-2.920576  -1.22022176  -1.21918681  -1.21746435  -1.21505813  -1.21197336  -1.20821677  -1.20379659  -1.19872259  -1.19300609  -1.18665996  -1.17969864  -1.17213820  -1.16399633  -1.15529235  -1.14604730  -1.13628392  -1.12602672  -1.11530199  -1.10413786  -1.09256433  -1.08061332  -1.06831870  -1.05571633  -1.04284414  -1.02974210  -1.01645229  -1.00301893  -0.98948835  -0.97590903  -0.96233155  -0.94880856  -0.93539468  -0.92214642  -0.90912201  -0.89638123  -0.88398513  -0.87199572  -0.86047560  -0.84948754  -0.83909391  -0.82935612  -0.82033395  -0.81208485  -0.80466317  -0.79811935  -0.79249915  -0.78784286  -0.78418457  -0.78155154  -0.77996365  0.77996365  0.78155154  0.78418457  0.78784286  0.79249915  0.79811935  0.80466317  0.81208485  0.82033395  0.82935612  0.83909391  0.84948754  0.86047560  0.87199572  0.88398513  0.89638123  0.90912201  0.92214642  0.93539468  0.94880856  0.96233155  0.97590903  0.98948835  1.00301893  1.01645229  1.02974210  1.04284414  1.05571633  1.06831870  1.08061332  1.09256433  1.10413786  1.11530199  1.12602672  1.13628392  1.14604730  1.15529235  1.16399633  1.17213820  1.17969864  1.18665996  1.19300609  1.19872259  1.20379659  1.20821677  1.21197336  1.21505813  1.21746435  1.21918681  1.22022176
-2.889002  -1.25153466  -1.25038119  -1.24846132  -1.24577893  -1.24233944  -1.23814986  -1.23321877  -1.22755636  -1.22117441  -1.21408635  -1.20630729  -1.19785401  -1.18874501  -1.17900056  -1.16864274  -1.15769545  -1.14618451  -1.13413766  -1.12158467  -1.10855736  -1.09508970  -1.08121783  -1.06698020  -1.05241759  -1.03757318  -1.02249267  -1.00722432  -0.99181900  -0.97633026  -0.96081434  -0.94533022  -0.92993956  -0.91470667  -0.89969843  -0.88498406  -0.87063498  -0.85672444  -0.84332715  -0.83051877  -0.81837529  -0.80697231  -0.79638420  -0.78668313  -0.77793803  -0.77021348  -0.76356855  -0.75805564  -0.75371937  -0.75059564  -0.74871070  0.74871070  0.75059564  0.75371937  0.75805564  0.76356855  0.77021348  0.77793803  0.78668313  0.79638420  0.80697231  0.81837529  0.83051877  0.84332715  0.85672444  0.87063498  0.88498406  0.89969843  0.91470667  0.92993956  0.94533022  0.96081434  0.97633026  0.99181900  1.00722432  1.02249267  1.03757318  1.05241759  1.06698020  1.08121783  1.09508970  1.10855736  1.12158467  1.13413766  1.14618451  1.15769545  1.16864274  1.17900056  1.18874501  1.19785401  1.20630729  1.21408635  1.22117441  1.22755636  1.23321877  1.23814986  1.24233944  1.24577893  1.24846132  1.25038119  1.25153466
-2.857428  -1.28278672  -1.28152057  -1.27941296  -1.27646789  -1.27269093  -1.26808929  -1.26267180  -1.25644893  -1.24943282  -1.24163732  -1.23307796  -1.22377207  -1.21373874  -1.20299892  -1.19157542  -1.17949302  -1.16677846  -1.15346057  -1.13957033  -1.12514093  -1.11020785  -1.09480901  -1.07898482  -1.06277830  -1.04623520  -1.02940412  -1.01233665  -0.99508744  -0.97771435  -0.96027856  -0.94284463  -0.92548060  -0.90825799  -0.89125179  -0.87454039  -0.85820539  -0.84233138  -0.82700552  -0.81231707  -0.79835667  -0.78521550  -0.77298427  -0.76175200  -0.75160461  -0.74262342  -0.73488351  -0.72845206  -0.72338671  -0.71973410  -0.71752851  0.71752851  0.71973410  0.72338671  0.72845206  0.73488351  0.74262342  0.75160461  0.76175200  0.77298427  0.78521550  0.79835667  0.81231707  0.82700552  0.84233138  0.85820539  0.87454039  0.89125179  0.90825799  0.92548060  0.94284463  0.96027856  0.97771435  0.99508744  1.01233665  1.02940412  1.04623520  1.06277830  1.07898482  1.09480901  1.11020785  1.12514093  1.13957033  1.15346057  1.16677846  1.17949302  1.19157542  1.20299892  1.21373874  1.22377207  1.23307796  1.24163732  1.24943282  1.25644893  1.26267180  1.26808929  1.27269093  1.27646789  1.27941296  1.28152057  1.28278672
